x,y,charge
-6.509960280124718E-01,-4.524921071335909E-01,  1.0
-9.800000000000000E-01,-5.855553329206639E-01, -1.0
-6.431933508724306E-01,-4.449407725668175E-01,  1.0
-9.800000000000000E-01,-5.996348833960017E-01, -1.0
-6.431843530736306E-01,-4.628152859527723E-01,  1.0
-9.800000000000000E-01, 4.535185190861431E-01, -1.0
-8.694143272101490E-01, 1.669813886358579E-02,  1.0
-9.900000000000000E-01, 4.455478109326495E-01, -1.0
-2.416895729862575E-01, 6.255071689156745E-01,  1.0
-9.800000000000000E-01, 4.544952554406152E-01, -1.0
-5.898116145813818E-01,-9.862084626922230E-01, -1.0
-6.455676073141472E-01,-4.567170067512683E-01,  1.0
-9.900000000000000E-01,-5.892807371622216E-01, -1.0
-5.166195341279152E-01,-3.087137357287132E-01,  1.0
-5.447646898079933E-01, 9.861948521158026E-02, -1.0
-8.548198949948173E-01, 1.641207374753799E-02,  1.0
-5.398728764522754E-01, 9.329438092838821E-02, -1.0
-2.345714330997302E-01, 6.456658963155817E-01,  1.0
-9.900000000000000E-01, 4.569599906105459E-01, -1.0
-2.217050823609699E-01, 6.454472757606796E-01,  1.0
-2.934173879137372E-01,-8.243187769089235E-01,  1.0
-5.754271738521493E-01,-9.853904825263115E-01, -1.0
-6.517323155045297E-01,-4.451926217851067E-01,  1.0
-7.845844219007490E-02,-3.008111413457513E-01, -1.0
-5.301714198335008E-01,-3.118686664576317E-01,  1.0
-5.474697123862687E-01, 8.529500330611393E-02, -1.0
-2.298328021514639E-01, 6.299905081541003E-01,  1.0
-5.389250510602166E-01, 9.856877486805035E-02, -1.0
-2.272339656929239E-01, 6.418125708196449E-01,  1.0
-2.852723391767331E-01, 9.900000000000000E-01, -1.0
-5.808377281950827E-01,-9.800000000000000E-01, -1.0
-2.787958642076163E-01,-8.092692251240619E-01,  1.0
-7.206466009681073E-02,-3.094944453220926E-01, -1.0
-5.364770300072561E-01,-3.281347247145121E-01,  1.0
-6.210391649556957E-02,-3.128785521261613E-01, -1.0
-1.787449908660975E-01, 2.248010421214398E-01,  1.0
-5.298319063313088E-01, 1.037845277361193E-01, -1.0
-2.255677061063563E-01, 6.313699387622992E-01,  1.0
-2.654882576577047E-01, 9.900000000000000E-01, -1.0
-2.271278714042048E-01, 6.286952960761610E-01,  1.0
-2.833513181056028E-01,-8.227680312303541E-01,  1.0
-7.866325084719186E-02,-3.177875656839242E-01, -1.0
-5.248899588450826E-01,-3.184520638245332E-01,  1.0
-6.203978422198587E-02,-2.949775384633780E-01, -1.0
-1.894505661630258E-01, 2.145862368489980E-01,  1.0
-8.007178108792586E-02,-3.096739280586500E-01, -1.0
-1.904259207345321E-01, 2.277735753798143E-01,  1.0
 2.610360923618389E-01, 7.180711762095940E-02, -1.0
-2.244401455097185E-01, 6.440582293485146E-01,  1.0
-2.661829742251298E-01, 9.900000000000000E-01, -1.0
-2.182778223401929E-02,-9.900000000000000E-01, -1.0
 3.018757183999433E-01,-6.097584992806131E-01,  1.0
-7.409194333471442E-02,-3.060984234095538E-01, -1.0
 3.565564717212244E-01,-4.912516796928059E-01,  1.0
-6.319582279950124E-02,-3.022200147415321E-01, -1.0
-1.877737435214774E-01, 2.177246265584070E-01,  1.0
 2.701581975684701E-01, 7.099472400421337E-02, -1.0
-2.179001668977035E-01, 6.314302084401625E-01,  1.0
 2.657902721083275E-01, 5.699996483655907E-02, -1.0
-2.348905193445572E-01, 6.308228256384771E-01,  1.0
 2.994528747033597E-01,-6.141422782684850E-01,  1.0
-3.482178381194573E-02,-9.800000000000000E-01, -1.0
 2.939698842566545E-01,-5.981901712377306E-01,  1.0
-7.699977882687210E-02,-3.044808548971978E-01, -1.0
 3.440541369656308E-01,-4.911849007079456E-01,  1.0
 2.788938101413177E-01, 7.253677256586472E-02, -1.0
 5.422479379272311E-01, 3.792828672452323E-01,  1.0
 2.758789950703391E-01, 7.178961635288561E-02, -1.0
-2.356313287651892E-01, 6.428872782019736E-01,  1.0
 6.890874310548354E-01, 6.989283272053693E-01, -1.0
 7.329470078502013E-01,-4.926429412795625E-01, -1.0
 3.122653673854837E-01,-6.173627385334760E-01,  1.0
 7.403189756369547E-01,-4.923881094196371E-01, -1.0
 3.436292219970531E-01,-5.003897723422169E-01,  1.0
 2.692752815239760E-01, 6.856823251591825E-02, -1.0
 5.388682322732339E-01, 3.680756621517705E-01,  1.0
 2.823134332401753E-01, 6.212365970736938E-02, -1.0
 5.512655242924396E-01, 3.775656437464586E-01,  1.0
 6.834601150469233E-01, 6.903885380903397E-01, -1.0
-2.310353206142101E-01, 6.484353160416282E-01,  1.0
 2.986640113560260E-01,-6.138483839520497E-01,  1.0
 7.385156443791302E-01,-4.872289158108652E-01, -1.0
 3.450975890278878E-01,-4.928576476161495E-01,  1.0
 7.325562307329392E-01,-4.931169982956810E-01, -1.0
 9.800000000000000E-01,-8.954451539835021E-02,  1.0
 2.770795148430141E-01, 7.104602733962591E-02, -1.0
 5.367086750875609E-01, 3.783834862264912E-01,  1.0
 7.019488602322040E-01, 7.093113683988422E-01, -1.0
 8.995102936398156E-01, 9.800000000000000E-01,  1.0
 6.872699177749982E-01, 6.980186451955083E-01, -1.0
 7.298796414184295E-01,-4.813685200640483E-01, -1.0
 9.900000000000000E-01,-9.516504692277687E-02,  1.0
 7.456693745885348E-01,-4.772517513863608E-01, -1.0
 9.823587208314344E-01,-9.118557562578264E-02,  1.0
 7.292074468272547E-01,-4.945712292319946E-01, -1.0
 9.716352731602009E-01,-7.576506098208520E-02,  1.0
 9.531638103789560E-01, 6.097347560123970E-01, -1.0
 5.445410547999183E-01, 3.664587951491767E-01,  1.0
 9.553170087069710E-01, 5.937951840850882E-01, -1.0
 8.876254381968198E-01, 9.900000000000000E-01,  1.0
