x,y,charge
-9.705083775736419E-01,-9.705083775736419E-01,  1.0
-9.279573369924168E-01,-6.842507044475787E-01, -1.0
-9.415680651137888E-01,-5.114856300782030E-01,  1.0
-9.350113900301836E-01,-2.902337254204895E-01, -1.0
-9.377831963038450E-01,-1.088674423379376E-01,  1.0
-9.377831963038450E-01, 1.088674423379375E-01, -1.0
-9.350113900301836E-01, 2.902337254204894E-01,  1.0
-9.415680651137889E-01, 5.114856300782029E-01, -1.0
-9.279573369924168E-01, 6.842507044475785E-01,  1.0
-9.705083775736418E-01, 9.705083775736417E-01, -1.0
-6.842507044475787E-01,-9.279573369924168E-01, -1.0
-7.147078853540221E-01,-7.147078853540221E-01,  1.0
-6.956691002190076E-01,-4.896071551321543E-01, -1.0
-7.056791687167319E-01,-3.090086002629477E-01,  1.0
-7.011790990493181E-01,-9.159893759772136E-02, -1.0
-7.011790990493181E-01, 9.159893759772121E-02,  1.0
-7.056791687167319E-01, 3.090086002629475E-01, -1.0
-6.956691002190076E-01, 4.896071551321542E-01,  1.0
-7.147078853540221E-01, 7.147078853540220E-01, -1.0
-6.842507044475787E-01, 9.279573369924166E-01,  1.0
-5.114856300782030E-01,-9.415680651137888E-01,  1.0
-4.896071551321543E-01,-6.956691002190076E-01, -1.0
-5.069983905327825E-01,-5.069983905327825E-01,  1.0
-4.961569642783475E-01,-2.934186405632943E-01, -1.0
-5.012334103516312E-01,-1.063774930235277E-01,  1.0
-5.012334103516312E-01, 1.063774930235275E-01, -1.0
-4.961569642783475E-01, 2.934186405632943E-01,  1.0
-5.069983905327825E-01, 5.069983905327824E-01, -1.0
-4.896071551321543E-01, 6.956691002190074E-01,  1.0
-5.114856300782030E-01, 9.415680651137887E-01, -1.0
-2.902337254204895E-01,-9.350113900301836E-01, -1.0
-3.090086002629477E-01,-7.056791687167319E-01,  1.0
-2.934186405632943E-01,-4.961569642783475E-01, -1.0
-3.039725551498060E-01,-3.039725551498060E-01,  1.0
-2.987660473839064E-01,-9.615869844288141E-02, -1.0
-2.987660473839064E-01, 9.615869844288125E-02,  1.0
-3.039725551498060E-01, 3.039725551498057E-01, -1.0
-2.934186405632943E-01, 4.961569642783471E-01,  1.0
-3.090086002629477E-01, 7.056791687167318E-01, -1.0
-2.902337254204895E-01, 9.350113900301834E-01,  1.0
-1.088674423379376E-01,-9.377831963038450E-01,  1.0
-9.159893759772136E-02,-7.011790990493181E-01, -1.0
-1.063774930235277E-01,-5.012334103516312E-01,  1.0
-9.615869844288141E-02,-2.987660473839064E-01, -1.0
-1.013062147976610E-01,-1.013062147976610E-01,  1.0
-1.013062147976610E-01, 1.013062147976608E-01, -1.0
-9.615869844288148E-02, 2.987660473839063E-01,  1.0
-1.063774930235276E-01, 5.012334103516310E-01, -1.0
-9.159893759772138E-02, 7.011790990493179E-01,  1.0
-1.088674423379376E-01, 9.377831963038448E-01, -1.0
 1.088674423379374E-01,-9.377831963038450E-01, -1.0
 9.159893759772121E-02,-7.011790990493181E-01,  1.0
 1.063774930235275E-01,-5.012334103516312E-01, -1.0
 9.615869844288125E-02,-2.987660473839064E-01,  1.0
 1.013062147976608E-01,-1.013062147976610E-01, -1.0
 1.013062147976608E-01, 1.013062147976608E-01,  1.0
 9.615869844288129E-02, 2.987660473839063E-01, -1.0
 1.063774930235275E-01, 5.012334103516310E-01,  1.0
 9.159893759772123E-02, 7.011790990493179E-01, -1.0
 1.088674423379375E-01, 9.377831963038448E-01,  1.0
 2.902337254204894E-01,-9.350113900301836E-01,  1.0
 3.090086002629475E-01,-7.056791687167319E-01, -1.0
 2.934186405632942E-01,-4.961569642783475E-01,  1.0
 3.039725551498057E-01,-3.039725551498060E-01, -1.0
 2.987660473839063E-01,-9.615869844288148E-02,  1.0
 2.987660473839063E-01, 9.615869844288129E-02, -1.0
 3.039725551498057E-01, 3.039725551498057E-01,  1.0
 2.934186405632943E-01, 4.961569642783471E-01, -1.0
 3.090086002629475E-01, 7.056791687167318E-01,  1.0
 2.902337254204894E-01, 9.350113900301834E-01, -1.0
 5.114856300782029E-01,-9.415680651137889E-01, -1.0
 4.896071551321542E-01,-6.956691002190076E-01,  1.0
 5.069983905327824E-01,-5.069983905327825E-01, -1.0
 4.961569642783471E-01,-2.934186405632943E-01,  1.0
 5.012334103516310E-01,-1.063774930235276E-01, -1.0
 5.012334103516310E-01, 1.063774930235275E-01,  1.0
 4.961569642783471E-01, 2.934186405632943E-01, -1.0
 5.069983905327824E-01, 5.069983905327824E-01,  1.0
 4.896071551321542E-01, 6.956691002190074E-01, -1.0
 5.114856300782029E-01, 9.415680651137887E-01,  1.0
 6.842507044475785E-01,-9.279573369924168E-01,  1.0
 7.147078853540220E-01,-7.147078853540221E-01, -1.0
