x,y,charge
-9.253852550088939E-01,-8.286372791165305E-01,  1.0
-9.700000000000000E-01,-6.528742621841251E-01, -1.0
-9.357709600255523E-01,-5.120305019149682E-01,  1.0
-9.869643105349581E-01,-3.362077033544508E-01, -1.0
-9.008707239858744E-01,-1.379130547951926E-01,  1.0
-9.706542450204070E-01, 1.952993607324455E-01, -1.0
-8.143389932708682E-01, 3.523901931765430E-01,  1.0
-9.844184567511821E-01, 5.091394819215339E-01, -1.0
-8.435865421835003E-01, 7.293552312810186E-01,  1.0
-9.847823712971392E-01, 8.982541103741063E-01, -1.0
-6.777481935914837E-01,-8.764600626473109E-01, -1.0
-6.010333810344453E-01,-5.501354775313806E-01,  1.0
-7.767330309040968E-01,-5.231991952480710E-01, -1.0
-6.059096476318829E-01,-3.288572464898539E-01,  1.0
-6.358925927300307E-01,-1.299039022618798E-01, -1.0
-7.212254726307766E-01, 1.516730056395274E-01,  1.0
-6.593626383139707E-01, 2.181578972213311E-01, -1.0
-6.392302992221323E-01, 5.271067323504401E-01,  1.0
-8.048323594374578E-01, 4.942963476412447E-01, -1.0
-6.233773483316541E-01, 8.109983260531742E-01,  1.0
-3.734807654000218E-01,-8.232356929191071E-01,  1.0
-4.484738009018679E-01,-7.323544600588072E-01, -1.0
-5.918288787229062E-01,-5.676615048648650E-01,  1.0
-4.306711276487430E-01,-4.067439157270105E-01, -1.0
-5.035007070836038E-01,-2.703286950837704E-02,  1.0
-5.026637525012180E-01, 1.035221912328649E-01, -1.0
-3.792680470166704E-01, 4.108678383809024E-01,  1.0
-5.561160883534627E-01, 4.589374445137370E-01, -1.0
-4.744671153442661E-01, 7.283352390361822E-01,  1.0
-4.038841199056505E-01, 9.457197858269183E-01, -1.0
-4.358192332925038E-01,-9.549796598769106E-01, -1.0
-2.775583416336324E-01,-7.222355006370441E-01,  1.0
-1.986879087159281E-01,-5.360551765907853E-01, -1.0
-3.955337464699922E-01,-2.954044696986364E-01,  1.0
-2.364040410401808E-01,-1.236812972341055E-01, -1.0
-2.083830302314388E-01, 1.525665113519573E-01,  1.0
-3.913234815120917E-01, 1.362960657877775E-01, -1.0
-2.292949516776440E-01, 6.222309867871606E-01,  1.0
-3.217018913039192E-01, 7.644961384697015E-01, -1.0
-3.096294703756464E-01, 9.656772991858033E-01,  1.0
-1.465361688187442E-01,-9.401228914676295E-01,  1.0
-1.467138847542752E-01,-5.259465769601585E-01, -1.0
-5.938978651388527E-02,-3.941200989174202E-01,  1.0
-3.353953592408109E-02,-2.765591960744084E-01, -1.0
-2.052130931172812E-01, 9.900463538669377E-02,  1.0
 4.183793434737484E-02,-5.478332738660076E-02, -1.0
-1.704259207345321E-01, 1.894085622790096E-01,  1.0
-5.548360430009785E-02, 3.432909796477878E-01, -1.0
-1.481958257897678E-01, 6.633722751894613E-01,  1.0
-7.132980602759707E-02, 8.980087236370962E-01, -1.0
 1.137690544032536E-01,-9.600000000000000E-01, -1.0
 7.970994496011644E-02,-6.216998757261133E-01,  1.0
-5.467507634991171E-03,-4.662201326829498E-01, -1.0
 1.500540760341254E-01,-2.929172504190419E-01,  1.0
-4.991193448310526E-02,-2.684281107972266E-01, -1.0
-6.094561248881295E-02, 1.969607444914358E-01,  1.0
 1.185236736817907E-01, 2.901940632928239E-01, -1.0
-1.584447223101681E-01, 4.931056195412512E-01,  1.0
 8.435518898045199E-02, 6.666747866484435E-01, -1.0
 1.248156634489515E-01, 9.172625990077656E-01,  1.0
 2.794005261023882E-01,-8.668291385438890E-01,  1.0
 1.177708049017823E-01,-7.499917681403471E-01, -1.0
 3.532788076812637E-01,-6.398894064503847E-01,  1.0
 3.013772194964329E-01,-2.404502675208230E-01, -1.0
 2.894036649914791E-01,-4.617661214546672E-02,  1.0
 3.082508338573732E-01, 1.542716189704756E-01, -1.0
 4.545513395360004E-01, 4.033737634684999E-01,  1.0
 1.709472362577161E-01, 5.897338316005407E-01, -1.0
 1.759845686402506E-01, 7.808942507664820E-01,  1.0
 3.081038542396836E-01, 9.479277544856392E-01, -1.0
 5.240534685913100E-01,-8.358675704899304E-01, -1.0
 3.495615488737653E-01,-6.358900307311488E-01,  1.0
 7.064788804940749E-01,-5.244529731376874E-01, -1.0
 4.436934646823168E-01,-3.901075727301221E-01,  1.0
 4.868976641105271E-01,-1.318867794047597E-01, -1.0
 5.515279198723029E-01, 1.814410999923276E-01,  1.0
 5.303228982833892E-01, 2.852900202274657E-01, -1.0
 4.439056383131880E-01, 3.874189021612644E-01,  1.0
 5.641931316178891E-01, 7.428106368852362E-01, -1.0
 4.391254536900364E-01, 8.719748581462275E-01,  1.0
 6.160308758926524E-01,-9.323960936075308E-01,  1.0
 7.593059149426125E-01,-8.003349894373647E-01, -1.0
 6.183739130693096E-01,-4.328340753271384E-01,  1.0
 7.475590802292107E-01,-3.899079365681344E-01, -1.0
 7.008994628719701E-01,-1.045169064449849E-01,  1.0
 6.380226770346419E-01, 3.198823287130229E-02, -1.0
 6.161075530420111E-01, 3.734097367587289E-01,  1.0
 6.569261958587551E-01, 5.597237183575945E-01, -1.0
 7.732794808326150E-01, 7.213106462194295E-01,  1.0
 6.571995171640153E-01, 8.299305695848261E-01, -1.0
 9.717238472147328E-01,-8.865817386376218E-01, -1.0
 9.484714888303335E-01,-6.448172318200430E-01,  1.0
 7.101909161385599E-01,-5.295559449295190E-01, -1.0
 9.392172505458795E-01,-4.854416889818135E-01,  1.0
 8.400526513867568E-01,-1.746625527779253E-01, -1.0
 8.758218442710821E-01, 2.970025521058292E-02,  1.0
 8.362589567755433E-01, 2.344129036906974E-01, -1.0
 8.102329291886448E-01, 5.224959024866002E-01,  1.0
 9.800000000000000E-01, 6.272763882321768E-01, -1.0
 8.894698947301640E-01, 8.567028291915011E-01,  1.0
