x,y,charge
-9.246820123042713E-01,-8.844254291286004E-01,  1.0
-8.788839429761017E-01,-7.914868169962529E-01, -1.0
-9.437860284780257E-01,-3.272034289838638E-01,  1.0
-8.055056600314947E-01,-5.434787686142180E-02, -1.0
-9.358353305421921E-01,-3.129835106190439E-01,  1.0
-7.954960554115481E-01,-5.204544622346984E-02, -1.0
-9.900000000000000E-01, 2.584085548189987E-01,  1.0
-6.987211417571010E-01, 5.058132901347889E-01, -1.0
-9.800000000000000E-01, 6.853114846876777E-01,  1.0
-7.773706178817401E-01, 9.870249542395023E-01, -1.0
-6.364970932266405E-01,-9.509900772699209E-01, -1.0
-5.967230499866384E-01,-7.938906915478577E-01,  1.0
-6.300518717730021E-01,-5.155306143715747E-01, -1.0
-9.280230912637272E-01,-2.919538772986001E-01,  1.0
-8.101863467855931E-01,-4.152732737499589E-02, -1.0
-4.810219896109633E-01,-1.370284667406438E-01,  1.0
-6.920193147208143E-01, 4.997517034304418E-01, -1.0
-9.900000000000000E-01, 6.761532890195679E-01,  1.0
-7.058316375712492E-01, 5.015904905811635E-01, -1.0
-6.583939089167341E-01, 9.664019134588779E-01,  1.0
-1.436006506689259E-01,-8.479510377733401E-01,  1.0
-6.366405068061604E-01,-5.274184826496691E-01, -1.0
-3.951565755543046E-01,-4.372966057904801E-01,  1.0
-6.212764787131485E-01,-5.110426360231882E-01, -1.0
-6.708055368177875E-01,-1.964688716205036E-01,  1.0
-6.287468866520027E-01, 9.347608483252137E-02, -1.0
-3.307872341070591E-01, 4.365962536558660E-01,  1.0
-7.054720308929686E-01, 5.150079917293594E-01, -1.0
-5.138615615989583E-01, 7.446264706240214E-01,  1.0
-2.922218399058794E-01, 8.916162300439018E-01, -1.0
-6.313498520630534E-01,-9.654355394159322E-01, -1.0
-1.575764711433793E-01,-8.433420591028336E-01,  1.0
-2.368598428068076E-02,-3.449027246887668E-01, -1.0
-4.012761421414395E-01,-4.333705690785795E-01,  1.0
-9.421963219203595E-02,-9.259131987324377E-02, -1.0
-3.898307624538405E-01, 1.798647962617564E-01,  1.0
 2.812623139446734E-03, 9.683313162329883E-02, -1.0
-3.201961807221499E-01, 4.286299691929017E-01,  1.0
-9.945416597784303E-02, 6.074983126371374E-01, -1.0
-5.006295276509234E-01, 7.386149666076330E-01,  1.0
-1.523372306030804E-01,-8.558726872239895E-01,  1.0
-3.713870248703158E-02,-3.501035793751638E-01, -1.0
-1.486517455291326E-01,-8.558349059144815E-01,  1.0
-3.817083985061076E-02,-3.515687331047549E-01, -1.0
-3.971558460704643E-01, 1.710862227608529E-01,  1.0
-1.164016418792524E-02, 1.013069347806115E-01, -1.0
-3.218095119907540E-01, 4.238693705166491E-01,  1.0
 1.196828360784990E-01, 5.096544206083428E-01, -1.0
-6.864353031573166E-02, 6.207824507915224E-01,  1.0
-1.497117000387575E-01, 8.905616753419997E-01, -1.0
 3.756971017494755E-01,-8.493535597791795E-01, -1.0
