x,y,charge
-4.277844570827223E-01,-5.942924898994386E-01,  1.0
-7.367727310587886E-01,-9.347776069534832E-01, -1.0
-4.416512753878965E-01,-6.063162666859833E-01,  1.0
-8.137291715858660E-01,-3.678832745575868E-01, -1.0
-6.150202627944424E-01, 2.524406729285468E-01,  1.0
-8.113046263124302E-01,-3.518626449879137E-01, -1.0
-6.070436699083873E-01, 2.515879705443794E-01,  1.0
-8.154076241315042E-01, 8.275336209203920E-01, -1.0
-5.995188530696749E-01, 2.602832735632106E-01,  1.0
-8.091471464093828E-01, 8.154710225633925E-01, -1.0
-7.193858373880931E-01,-9.505599661594953E-01, -1.0
-4.462382065708660E-01,-5.885577049894901E-01,  1.0
-8.141566925543767E-01,-3.691770196392716E-01, -1.0
-4.387713456805236E-01,-6.004174843595478E-01,  1.0
-8.274518078591403E-01,-3.648628911471246E-01, -1.0
-2.457249741256726E-01,-4.024645201070737E-02,  1.0
-8.115442667968862E-01, 8.308143477573400E-01, -1.0
-5.377405794731146E-01, 4.035217338883010E-01,  1.0
-8.191022152947026E-01, 8.177111145898490E-01, -1.0
-4.699570411799895E-01, 9.900000000000000E-01,  1.0
-4.268493312568979E-01,-6.077053965666868E-01,  1.0
-7.339596215137814E-01,-9.447465407326114E-01, -1.0
-4.261025163589824E-01,-6.061566635724389E-01,  1.0
-8.232438959546129E-01,-3.679915722536323E-01, -1.0
-2.382081297463297E-01,-5.376836651337934E-02,  1.0
-2.066597965435915E-01, 6.649469288321225E-01, -1.0
-5.507748761874067E-01, 4.040617294139938E-01,  1.0
-2.033118345503865E-01, 6.559287186915590E-01, -1.0
-5.371750689519716E-01, 3.954337673124246E-01,  1.0
-8.194033891719916E-01, 8.350597199425538E-01, -1.0
 2.400224680940232E-02,-7.326175322790809E-01, -1.0
-4.305631876585810E-01,-6.066208688890379E-01,  1.0
 5.383705371508889E-03,-7.332481818283114E-01, -1.0
-2.451153584175407E-01,-4.620696685073343E-02,  1.0
-8.088551153312535E-01,-3.685686219069135E-01, -1.0
-2.383097948441935E-01,-4.350036802795826E-02,  1.0
-2.103105766842469E-01, 6.574646386307830E-01, -1.0
-5.505451803739668E-01, 4.004466383133483E-01,  1.0
-2.112200532569916E-01, 6.747297729564258E-01, -1.0
-4.661726326651382E-01, 9.900000000000000E-01,  1.0
-4.349816900360545E-01,-5.990524803556051E-01,  1.0
 1.566604555630496E-02,-7.241273158478362E-01, -1.0
 6.069445234492560E-02, 8.494987169003066E-03,  1.0
 8.035212084587540E-03,-7.266434836801851E-01, -1.0
 6.422449630302325E-02, 2.497118113231837E-02,  1.0
-2.095925584984940E-01, 6.651314115626337E-01, -1.0
 6.282122202049290E-02, 1.968694806993204E-02,  1.0
-2.115545108725962E-01, 6.569725556906142E-01, -1.0
 6.031159273606643E-01, 5.922729827026187E-01,  1.0
-2.224118592180731E-01, 6.657367780278761E-01, -1.0
 2.121080743476630E-02,-7.161020284626034E-01, -1.0
 4.409102934498305E-01,-4.039257337304458E-01,  1.0
 1.504865721670622E-02,-7.261539495887669E-01, -1.0
 4.579818305399129E-02, 5.969220294902928E-03,  1.0
 3.542446003684580E-03,-7.170681085857130E-01, -1.0
 6.068199639089464E-02, 2.253673483368675E-02,  1.0
-2.176132039355428E-01, 6.689818585311905E-01, -1.0
 5.240756433773787E-02, 1.951007024741114E-02,  1.0
-2.172919966194835E-01, 6.635104562424973E-01, -1.0
 5.947785456025134E-01, 5.976441652374955E-01,  1.0
 4.288560032244999E-01,-3.942044782667168E-01,  1.0
 1.287281097180827E-02,-7.232964459916328E-01, -1.0
 4.216307764799440E-01,-3.848925364534856E-01,  1.0
 8.806089958560215E-03,-7.204768442564359E-01, -1.0
 6.024437659364774E-02, 2.066240817608801E-02,  1.0
-2.203554979674103E-01, 6.557279198588362E-01, -1.0
 6.131913415086749E-01, 6.011137249055131E-01,  1.0
-2.172461836962058E-01, 6.623515253804073E-01, -1.0
 6.050642460084815E-01, 5.825849763984217E-01,  1.0
 5.470112783998816E-01, 9.900000000000000E-01, -1.0
 6.298206493003954E-01,-9.800000000000000E-01, -1.0
 4.299037733238057E-01,-3.961644276408072E-01,  1.0
 6.315823180773228E-01,-9.900000000000000E-01, -1.0
 4.247326200947852E-01,-4.014502050287415E-01,  1.0
 7.598772601594505E-01,-6.550134843569319E-02, -1.0
 5.226300913104408E-02, 6.563277344948456E-03,  1.0
 7.759344106393431E-01,-4.712245231291495E-02, -1.0
 6.033537339053825E-01, 5.838110314350765E-01,  1.0
 5.312643792194519E-01, 9.800000000000000E-01, -1.0
 6.135902649728144E-01, 5.823528136987492E-01,  1.0
 6.097070220544394E-01,-4.414162850135731E-01,  1.0
 6.213566540396004E-01,-9.795320037666291E-01, -1.0
 6.070823294867735E-01,-4.294808276570551E-01,  1.0
 9.776335569079221E-01,-7.056843508634568E-01, -1.0
 5.960024267011135E-01, 5.824047528287546E-01,  1.0
 7.729850768848107E-01,-6.243359463589663E-02, -1.0
 5.946849960174335E-01, 5.828428661201215E-01,  1.0
 9.800000000000000E-01, 4.229404802205736E-01, -1.0
 6.046685823828606E-01, 5.945036880963989E-01,  1.0
 5.391430732849405E-01, 9.900000000000000E-01, -1.0
 6.222442690002693E-01,-9.900000000000000E-01, -1.0
 5.927850285194608E-01,-4.248400909637386E-01,  1.0
 6.119509482299587E-01,-9.800000000000000E-01, -1.0
 4.365979919066756E-01,-3.916863552730432E-01,  1.0
 9.800000000000000E-01,-7.024895023361745E-01, -1.0
 5.966405280364280E-01, 5.957807622919611E-01,  1.0
 9.800000000000000E-01, 4.352020821163788E-01, -1.0
 6.070067100010956E-01, 5.996160567694488E-01,  1.0
 9.900000000000000E-01, 4.346177633273511E-01, -1.0
 6.042612607108948E-01, 5.887144165411945E-01,  1.0
