x,y,charge
-9.121621989419042E-01,-9.121621989419042E-01,  1.0
-9.049021035585547E-01,-6.960067705683359E-01, -1.0
-9.071264087151450E-01,-5.026377001909574E-01,  1.0
-9.061551227326081E-01,-2.979000505828452E-01, -1.0
-9.065666500737916E-01,-1.018863632354193E-01,  1.0
-9.065666500737916E-01, 1.018863632354191E-01, -1.0
-9.061551227326081E-01, 2.979000505828451E-01,  1.0
-9.071264087151450E-01, 5.026377001909573E-01, -1.0
-9.049021035585547E-01, 6.960067705683357E-01,  1.0
-9.121621989419042E-01, 9.121621989419040E-01, -1.0
-6.960067705683359E-01,-9.049021035585547E-01, -1.0
-7.020930312043954E-01,-7.020930312043954E-01,  1.0
-6.986498092288311E-01,-4.979777266140865E-01, -1.0
-7.004362632167710E-01,-3.017694360731601E-01,  1.0
-6.996579798529439E-01,-9.836544972385972E-02, -1.0
-6.996579798529439E-01, 9.836544972385952E-02,  1.0
-7.004362632167710E-01, 3.017694360731599E-01, -1.0
-6.986498092288311E-01, 4.979777266140864E-01,  1.0
-7.020930312043954E-01, 7.020930312043953E-01, -1.0
-6.960067705683359E-01, 9.049021035585545E-01,  1.0
-5.026377001909574E-01,-9.071264087151450E-01,  1.0
-4.979777266140865E-01,-6.986498092288311E-01, -1.0
-5.013116072566453E-01,-5.013116072566453E-01,  1.0
-4.992851647831755E-01,-2.987385597772785E-01, -1.0
-5.002323488157021E-01,-1.012132297102977E-01,  1.0
-5.002323488157021E-01, 1.012132297102975E-01, -1.0
-4.992851647831755E-01, 2.987385597772784E-01,  1.0
-5.013116072566453E-01, 5.013116072566451E-01, -1.0
-4.979777266140865E-01, 6.986498092288309E-01,  1.0
-5.026377001909574E-01, 9.071264087151448E-01, -1.0
-2.979000505828452E-01,-9.061551227326081E-01, -1.0
-3.017694360731601E-01,-7.004362632167710E-01,  1.0
-2.987385597772785E-01,-4.992851647831755E-01, -1.0
-3.007420882001704E-01,-3.007420882001704E-01,  1.0
-2.997571698748306E-01,-9.926506866079622E-02, -1.0
-2.997571698748306E-01, 9.926506866079604E-02,  1.0
-3.007420882001704E-01, 3.007420882001702E-01, -1.0
-2.987385597772785E-01, 4.992851647831754E-01,  1.0
-3.017694360731601E-01, 7.004362632167708E-01, -1.0
-2.979000505828452E-01, 9.061551227326079E-01,  1.0
-1.018863632354193E-01,-9.065666500737916E-01,  1.0
-9.836544972385972E-02,-6.996579798529439E-01, -1.0
-1.012132297102977E-01,-5.002323488157021E-01,  1.0
-9.926506866079622E-02,-2.997571698748306E-01, -1.0
-1.002452657012544E-01,-1.002452657012544E-01,  1.0
-1.002452657012544E-01, 1.002452657012542E-01, -1.0
-9.926506866079624E-02, 2.997571698748305E-01,  1.0
-1.012132297102977E-01, 5.002323488157020E-01, -1.0
-9.836544972385972E-02, 6.996579798529436E-01,  1.0
-1.018863632354193E-01, 9.065666500737913E-01, -1.0
 1.018863632354191E-01,-9.065666500737916E-01, -1.0
 9.836544972385952E-02,-6.996579798529439E-01,  1.0
 1.012132297102975E-01,-5.002323488157021E-01, -1.0
 9.926506866079604E-02,-2.997571698748306E-01,  1.0
 1.002452657012542E-01,-1.002452657012544E-01, -1.0
 1.002452657012542E-01, 1.002452657012542E-01,  1.0
 9.926506866079604E-02, 2.997571698748305E-01, -1.0
 1.012132297102975E-01, 5.002323488157020E-01,  1.0
 9.836544972385952E-02, 6.996579798529436E-01, -1.0
 1.018863632354191E-01, 9.065666500737913E-01,  1.0
 2.979000505828451E-01,-9.061551227326081E-01,  1.0
 3.017694360731599E-01,-7.004362632167710E-01, -1.0
 2.987385597772784E-01,-4.992851647831755E-01,  1.0
 3.007420882001702E-01,-3.007420882001704E-01, -1.0
 2.997571698748305E-01,-9.926506866079624E-02,  1.0
 2.997571698748305E-01, 9.926506866079604E-02, -1.0
 3.007420882001702E-01, 3.007420882001702E-01,  1.0
 2.987385597772784E-01, 4.992851647831754E-01, -1.0
 3.017694360731599E-01, 7.004362632167708E-01,  1.0
 2.979000505828451E-01, 9.061551227326079E-01, -1.0
 5.026377001909573E-01,-9.071264087151450E-01, -1.0
 4.979777266140864E-01,-6.986498092288311E-01,  1.0
 5.013116072566451E-01,-5.013116072566453E-01, -1.0
 4.992851647831754E-01,-2.987385597772785E-01,  1.0
 5.002323488157020E-01,-1.012132297102977E-01, -1.0
 5.002323488157020E-01, 1.012132297102975E-01,  1.0
 4.992851647831754E-01, 2.987385597772784E-01, -1.0
 5.013116072566451E-01, 5.013116072566451E-01,  1.0
 4.979777266140864E-01, 6.986498092288309E-01, -1.0
 5.026377001909573E-01, 9.071264087151448E-01,  1.0
 6.960067705683357E-01,-9.049021035585547E-01,  1.0
 7.020930312043953E-01,-7.020930312043954E-01, -1.0
 6.986498092288309E-01,-4.979777266140865E-01,  1.0
 7.004362632167708E-01,-3.017694360731601E-01, -1.0
 6.996579798529436E-01,-9.836544972385972E-02,  1.0
 6.996579798529436E-01, 9.836544972385952E-02, -1.0
 7.004362632167708E-01, 3.017694360731599E-01,  1.0
 6.986498092288309E-01, 4.979777266140864E-01, -1.0
 7.020930312043953E-01, 7.020930312043953E-01,  1.0
 6.960067705683357E-01, 9.049021035585545E-01, -1.0
 9.121621989419040E-01,-9.121621989419042E-01, -1.0
 9.049021035585545E-01,-6.960067705683359E-01,  1.0
 9.071264087151448E-01,-5.026377001909574E-01, -1.0
 9.061551227326079E-01,-2.979000505828452E-01,  1.0
 9.065666500737913E-01,-1.018863632354193E-01, -1.0
 9.065666500737913E-01, 1.018863632354191E-01,  1.0
 9.061551227326079E-01, 2.979000505828451E-01, -1.0
 9.071264087151448E-01, 5.026377001909573E-01,  1.0
 9.049021035585545E-01, 6.960067705683357E-01, -1.0
 9.121621989419040E-01, 9.121621989419040E-01,  1.0
