x,y,charge
-6.509960280124718E-01,-4.524921071335909E-01,  1.0
-9.800000000000000E-01,-5.771057067191543E-01, -1.0
-6.431933508724306E-01,-4.449407725668175E-01,  1.0
-9.800000000000000E-01,-5.630405591049041E-01, -1.0
-6.431843530736306E-01,-4.628152859527723E-01,  1.0
-9.800000000000000E-01, 4.475037229074962E-01, -1.0
-7.845695523022372E-01, 1.563318749419446E-01,  1.0
-9.794904763620884E-01, 4.453440490559895E-01, -1.0
-2.416895729862575E-01, 6.255071689156745E-01,  1.0
-9.800000000000000E-01, 6.859035498571689E-01, -1.0
-5.730665088049510E-01,-9.662084626922229E-01, -1.0
-6.455676073141472E-01,-4.567170067512683E-01,  1.0
-9.900000000000000E-01,-5.654813969668456E-01, -1.0
-5.166195341279152E-01,-3.087137357287132E-01,  1.0
-5.447646898079933E-01, 9.861948521158026E-02, -1.0
-7.956267880166972E-01, 1.714293351662052E-01,  1.0
-5.398728764522754E-01, 9.329438092838821E-02, -1.0
-2.345714330997302E-01, 6.370213904713341E-01,  1.0
-9.700000000000000E-01, 4.521405184127255E-01, -1.0
-2.217050823609699E-01, 6.454472757606796E-01,  1.0
-2.633819408835765E-01,-8.084728221732286E-01,  1.0
-5.909192442821927E-01,-9.847173939305466E-01, -1.0
-6.517323155045297E-01,-4.451926217851067E-01,  1.0
-7.845844219007490E-02,-3.008111413457513E-01, -1.0
-5.301714198335008E-01,-3.118686664576317E-01,  1.0
-5.474697123862687E-01, 8.529500330611393E-02, -1.0
-2.298328021514639E-01, 6.299905081541003E-01,  1.0
-5.389250510602166E-01, 9.856877486805035E-02, -1.0
-2.272339656929239E-01, 6.418125708196449E-01,  1.0
-2.601567473761622E-01, 9.800000000000000E-01, -1.0
-5.892838273779570E-01,-9.789089132988543E-01, -1.0
-2.586567876782749E-01,-8.050936098999115E-01,  1.0
-7.206466009681073E-02,-3.094944453220926E-01, -1.0
-5.364770300072561E-01,-3.281347247145121E-01,  1.0
-6.210391649556957E-02,-3.128785521261613E-01, -1.0
-1.708420342836646E-01, 1.741185049343247E-01,  1.0
-5.298319063313088E-01, 1.037845277361193E-01, -1.0
-2.255677061063563E-01, 6.398169332156938E-01,  1.0
-2.717572955772132E-01, 9.900000000000000E-01, -1.0
-2.271278714042048E-01, 6.286952960761610E-01,  1.0
-2.636519585149981E-01,-8.151481616128621E-01,  1.0
-7.866325084719186E-02,-3.177875656839242E-01, -1.0
-5.248899588450826E-01,-3.184520638245332E-01,  1.0
-6.203978422198587E-02,-2.949775384633780E-01, -1.0
-1.652130931172811E-01, 1.758198728197570E-01,  1.0
-8.007178108792586E-02,-3.096739280586500E-01, -1.0
-1.704259207345321E-01, 1.766012259250000E-01,  1.0
 2.610360923618389E-01, 7.180711762095940E-02, -1.0
-2.244401455097185E-01, 6.362816736891804E-01,  1.0
-2.619715183562518E-01, 9.900000000000000E-01, -1.0
 1.717694681223790E-02,-9.900000000000000E-01, -1.0
 3.018757183999433E-01,-6.097584992806131E-01,  1.0
-7.409194333471442E-02,-3.060984234095538E-01, -1.0
 3.565564717212244E-01,-4.907496517831748E-01,  1.0
-6.319582279950124E-02,-3.022200147415321E-01, -1.0
-1.653877208742200E-01, 1.746743124638878E-01,  1.0
 2.701581975684701E-01, 7.099472400421337E-02, -1.0
-2.179001668977035E-01, 6.314302084401625E-01,  1.0
 2.657902721083275E-01, 5.699996483655907E-02, -1.0
-2.348905193445572E-01, 6.308228256384771E-01,  1.0
 2.994528747033597E-01,-6.141422782684850E-01,  1.0
 6.501085113354408E-03,-9.800000000000000E-01, -1.0
 2.924894470042274E-01,-6.053021454736043E-01,  1.0
-7.699977882687210E-02,-3.044808548971978E-01, -1.0
 3.440541369656308E-01,-4.911849007079456E-01,  1.0
 2.788938101413177E-01, 7.253677256586472E-02, -1.0
 5.422479379272311E-01, 3.792828672452323E-01,  1.0
 2.758789950703391E-01, 7.178961635288561E-02, -1.0
-2.356313287651892E-01, 6.428872782019736E-01,  1.0
 5.447817868946566E-01, 8.149979049327527E-01, -1.0
 7.329470078502013E-01,-4.926429412795625E-01, -1.0
 3.013015170824523E-01,-5.973627385334760E-01,  1.0
 7.203189756369547E-01,-5.066457703068674E-01, -1.0
 3.436292219970531E-01,-5.003897723422169E-01,  1.0
 2.692752815239760E-01, 6.856823251591825E-02, -1.0
 5.388682322732339E-01, 3.680756621517705E-01,  1.0
 2.823134332401753E-01, 6.212365970736938E-02, -1.0
 5.512655242924396E-01, 3.775656437464586E-01,  1.0
 6.879748867147353E-01, 7.029741644245812E-01, -1.0
 2.110319226484798E-01, 9.900000000000000E-01,  1.0
 3.029385531998970E-01,-6.138483839520497E-01,  1.0
 7.385156443791302E-01,-4.872289158108652E-01, -1.0
 3.450975890278878E-01,-4.928576476161495E-01,  1.0
 7.325562307329392E-01,-4.931169982956810E-01, -1.0
 9.431862317021876E-01,-9.786452816655819E-03,  1.0
 2.770795148430141E-01, 7.104602733962591E-02, -1.0
 5.367086750875609E-01, 3.783834862264912E-01,  1.0
 6.849723271842412E-01, 7.093113683988422E-01, -1.0
 8.529802576618065E-01, 9.900000000000000E-01,  1.0
 6.702558766155603E-01, 7.182582889338951E-01, -1.0
 7.298796414184295E-01,-4.813685200640483E-01, -1.0
 9.800000000000000E-01,-2.275771722601327E-01,  1.0
 7.456693745885348E-01,-4.963016579082972E-01, -1.0
 9.900000000000000E-01,-2.151127230869324E-01,  1.0
 7.292074468272547E-01,-4.945712292319946E-01, -1.0
 9.395033982537891E-01,-2.612958503766535E-02,  1.0
 9.800000000000000E-01, 4.559608390847955E-01, -1.0
 5.445410547999183E-01, 3.664587951491767E-01,  1.0
 9.800000000000000E-01, 4.470756216185509E-01, -1.0
 8.653289754276121E-01, 9.799034983312567E-01,  1.0
