x,y,charge
-6.509960280124718E-01,-4.524921071335909E-01,  1.0
-9.800000000000000E-01,-5.486101177721520E-01, -1.0
-6.431933508724306E-01,-4.449407725668175E-01,  1.0
-9.900000000000000E-01,-5.663785669486153E-01, -1.0
-6.431843530736306E-01,-4.628152859527723E-01,  1.0
-9.659988755770160E-01, 4.266962679602152E-01, -1.0
-7.706759587308898E-01, 1.830739200600588E-01,  1.0
-9.828487556503667E-01, 4.453440490559895E-01, -1.0
-2.416895729862575E-01, 6.255071689156745E-01,  1.0
-9.700000000000000E-01, 7.741984479637624E-01, -1.0
-5.802932148986222E-01,-9.862084626922230E-01, -1.0
-6.455676073141472E-01,-4.567170067512683E-01,  1.0
-9.800000000000000E-01,-5.633171881475131E-01, -1.0
-5.166195341279152E-01,-3.087137357287132E-01,  1.0
-5.447646898079933E-01, 9.861948521158026E-02, -1.0
-7.803828842361892E-01, 1.997491994971448E-01,  1.0
-5.398728764522754E-01, 9.329438092838821E-02, -1.0
-2.345714330997302E-01, 6.370213904713341E-01,  1.0
-9.737715868998310E-01, 4.419488697340014E-01, -1.0
-2.217050823609699E-01, 6.454472757606796E-01,  1.0
-2.633819408835765E-01,-8.147467119725742E-01,  1.0
-5.909192442821927E-01,-9.876671437915807E-01, -1.0
-6.517323155045297E-01,-4.451926217851067E-01,  1.0
-7.845844219007490E-02,-3.008111413457513E-01, -1.0
-5.301714198335008E-01,-3.118686664576317E-01,  1.0
-5.474697123862687E-01, 8.529500330611393E-02, -1.0
-2.298328021514639E-01, 6.299905081541003E-01,  1.0
-5.389250510602166E-01, 9.856877486805035E-02, -1.0
-2.272339656929239E-01, 6.418125708196449E-01,  1.0
-2.601567473761622E-01, 9.900000000000000E-01, -1.0
-5.902732514111202E-01,-9.726621829276390E-01, -1.0
-2.744314041785484E-01,-8.172291110100758E-01,  1.0
-7.206466009681073E-02,-3.094944453220926E-01, -1.0
-5.364770300072561E-01,-3.281347247145121E-01,  1.0
-6.210391649556957E-02,-3.128785521261613E-01, -1.0
-1.708420342836646E-01, 1.731432578839325E-01,  1.0
-5.298319063313088E-01, 1.037845277361193E-01, -1.0
-2.255677061063563E-01, 6.398169332156938E-01,  1.0
-2.517572955772132E-01, 9.900000000000000E-01, -1.0
-2.271278714042048E-01, 6.286952960761610E-01,  1.0
-2.827230381827064E-01,-8.324421120344059E-01,  1.0
-7.866325084719186E-02,-3.177875656839242E-01, -1.0
-5.248899588450826E-01,-3.184520638245332E-01,  1.0
