x,y,charge
-9.100000000000000E-01,-9.033037336917704E-01,  1.0
-9.100000000000000E-01,-8.826410947044618E-01, -1.0
-8.904030781726552E-01,-8.721848531922597E-01,  1.0
-9.100000000000000E-01,-8.828643216080402E-01, -1.0
-9.100000000000000E-01,-8.538190954773870E-01,  1.0
-9.100000000000000E-01,-8.512591142290972E-01, -1.0
-9.100000000000000E-01,-8.557286432160804E-01,  1.0
-9.100000000000000E-01,-8.466834170854272E-01, -1.0
-9.053179882912430E-01,-8.176381909547739E-01,  1.0
-9.100000000000000E-01,-8.094546756712206E-01, -1.0
-9.100000000000000E-01,-8.195477386934674E-01,  1.0
-9.100000000000000E-01,-7.905025125628141E-01, -1.0
-9.100000000000000E-01,-8.014572864321609E-01,  1.0
-9.100000000000000E-01,-7.924120603015076E-01, -1.0
-9.072185217690334E-01,-7.633668341708543E-01,  1.0
-9.100000000000000E-01,-7.592062995618531E-01, -1.0
-9.100000000000000E-01,-7.652763819095478E-01,  1.0
-9.031753629526603E-01,-7.362311557788945E-01, -1.0
-9.100000000000000E-01,-7.271859296482412E-01,  1.0
-9.100000000000000E-01,-7.381407035175880E-01, -1.0
-9.100000000000000E-01,-7.090954773869347E-01,  1.0
-9.100000000000000E-01,-7.200502512562814E-01, -1.0
-9.100000000000000E-01,-7.052261611120468E-01,  1.0
-9.100000000000000E-01,-6.890134514342727E-01, -1.0
-9.100000000000000E-01,-6.729145728643217E-01,  1.0
-9.100000000000000E-01,-6.838693467336684E-01, -1.0
-8.900000000000000E-01,-6.748241206030151E-01,  1.0
-8.916578349246979E-01,-6.657788944723618E-01, -1.0
-9.100000000000000E-01,-6.367336683417085E-01,  1.0
-9.100000000000000E-01,-6.476884422110554E-01, -1.0
-9.100000000000000E-01,-6.186432160804021E-01,  1.0
-9.071453915302471E-01,-6.275422234783370E-01, -1.0
-9.100000000000000E-01,-6.005527638190955E-01,  1.0
-9.100000000000000E-01,-6.077257102857960E-01, -1.0
-9.100000000000000E-01,-6.024623115577890E-01,  1.0
-9.100000000000000E-01,-5.734170854271357E-01, -1.0
-8.916386772454100E-01,-5.843718592964825E-01,  1.0
-9.100000000000000E-01,-5.587972615332095E-01, -1.0
-9.100000000000000E-01,-5.662814070351759E-01,  1.0
-9.100000000000000E-01,-5.572361809045226E-01, -1.0
-9.100000000000000E-01,-5.281909547738693E-01,  1.0
-9.100000000000000E-01,-5.380507144451334E-01, -1.0
-9.100000000000000E-01,-5.101005025125629E-01,  1.0
-9.100000000000000E-01,-5.210552763819096E-01, -1.0
-9.100000000000000E-01,-5.120100502512563E-01,  1.0
-9.100000000000000E-01,-5.029648241206031E-01, -1.0
-8.971447782731783E-01,-4.939195979899498E-01,  1.0
-9.100000000000000E-01,-4.848743718592965E-01, -1.0
-9.100000000000000E-01,-4.605922812824049E-01,  1.0
-9.100000000000000E-01,-4.570451766014740E-01, -1.0
-8.916902974748440E-01,-4.377386934673367E-01,  1.0
-9.100000000000000E-01,-4.486934673366835E-01, -1.0
-9.100000000000000E-01,-4.396482412060302E-01,  1.0
-9.100000000000000E-01,-4.106030150753769E-01, -1.0
-9.100000000000000E-01,-4.015577889447237E-01,  1.0
-9.080620523051058E-01,-4.125125628140704E-01, -1.0
-9.100000000000000E-01,-3.834673366834171E-01,  1.0
-9.100000000000000E-01,-3.944221105527639E-01, -1.0
-8.905950629026317E-01,-3.853768844221106E-01,  1.0
-9.100000000000000E-01,-3.763316582914573E-01, -1.0
-8.903086979653618E-01,-3.472864321608041E-01,  1.0
-8.910619251953565E-01,-3.382412060301508E-01, -1.0
-9.100000000000000E-01,-3.291959798994975E-01,  1.0
-9.100000000000000E-01,-3.401507537688443E-01, -1.0
-8.972204585958106E-01,-3.273597537439761E-01,  1.0
-9.100000000000000E-01,-3.020603015075377E-01, -1.0
-9.100000000000000E-01,-3.130150753768845E-01,  1.0
-9.100000000000000E-01,-3.039698492462312E-01, -1.0
