x,y,charge
-8.900000000000000E-01,-9.500000000000001E-01,  1.0
-9.300000000000000E-01,-9.009547738693467E-01, -1.0
-8.700000000000000E-01,-9.119095477386935E-01,  1.0
-9.100000000000000E-01,-8.624399999886480E-01, -1.0
-8.562671427977897E-01,-8.538190954773870E-01,  1.0
-9.226191200283435E-01,-8.647738693467337E-01, -1.0
-8.775908619759546E-01,-8.357286432160804E-01,  1.0
-9.129500340094442E-01,-8.266834170854271E-01, -1.0
-8.700000000000000E-01,-8.376381909547739E-01,  1.0
-9.300000000000000E-01,-8.285929648241206E-01, -1.0
-8.700000000000000E-01,-7.781095350460794E-01,  1.0
-9.300713580993741E-01,-8.305025125628142E-01, -1.0
-8.892814241959908E-01,-7.814572864321608E-01,  1.0
-9.300000000000000E-01,-8.272168541787194E-01, -1.0
-8.700000000000000E-01,-7.833668341708543E-01,  1.0
-9.100000000000000E-01,-7.321490528240392E-01, -1.0
-8.900000000000000E-01,-7.652763819095478E-01,  1.0
-9.304844061331229E-01,-7.155442270729006E-01, -1.0
-8.900000000000000E-01,-7.671859296482413E-01,  1.0
-9.419598352641578E-01,-7.181407035175880E-01, -1.0
-8.549055211028619E-01,-7.290954773869347E-01,  1.0
-9.300000000000000E-01,-7.000502512562814E-01, -1.0
-8.900000000000000E-01,-7.110050251256281E-01,  1.0
-9.500000000000001E-01,-6.819597989949749E-01, -1.0
-8.900000000000000E-01,-7.041900225151281E-01,  1.0
-9.500000000000001E-01,-6.638693467336684E-01, -1.0
-9.046556265671841E-01,-6.948241206030151E-01,  1.0
-8.900000000000000E-01,-6.257788944723618E-01, -1.0
-9.225448657803800E-01,-6.880927486917855E-01,  1.0
-8.900000000000000E-01,-6.410922084068408E-01, -1.0
-9.500000000000001E-01,-6.186432160804021E-01,  1.0
-8.974056164426178E-01,-6.295979899497488E-01, -1.0
-9.500000000000001E-01,-6.205527638190955E-01,  1.0
-8.736878077940012E-01,-6.030445676492548E-01, -1.0
-9.500000000000001E-01,-6.024623115577890E-01,  1.0
-8.700000000000000E-01,-5.934170854271357E-01, -1.0
-9.155700741301033E-01,-5.748199298404414E-01,  1.0
-8.910909487958605E-01,-5.553266331658292E-01, -1.0
-9.500000000000001E-01,-5.862814070351759E-01,  1.0
-8.937286095678756E-01,-5.376987762989014E-01, -1.0
-8.700000000000000E-01,-4.881909547738693E-01,  1.0
-9.197369609952165E-01,-5.495344646593444E-01, -1.0
-8.700000000000000E-01,-5.005125174995610E-01,  1.0
-9.500000000000001E-01,-4.639007279296357E-01, -1.0
-8.700000000000000E-01,-5.034719611079743E-01,  1.0
-9.239154597644295E-01,-4.490332938056888E-01, -1.0
-8.700000000000000E-01,-4.939195979899498E-01,  1.0
-9.102546741515142E-01,-4.448743718592965E-01, -1.0
-8.819665394315753E-01,-4.958291457286433E-01,  1.0
-9.100000000000000E-01,-4.154600191228283E-01, -1.0
-8.692356488863247E-01,-4.977386934673368E-01,  1.0
-9.100000000000000E-01,-4.286934673366835E-01, -1.0
-9.500000000000001E-01,-3.996482412060302E-01,  1.0
-9.045282951853769E-01,-4.306030150753770E-01, -1.0
