x,y,charge
-9.251857111289242E-01,-8.750919938635068E-01,  1.0
-8.700000000000000E-01,-8.918181818181818E-01, -1.0
-9.100000000000000E-01,-8.336363636363636E-01,  1.0
-8.678829193348595E-01,-8.954545454545455E-01, -1.0
-8.973969521887356E-01,-8.372727272727273E-01,  1.0
-9.100000000000000E-01,-7.790909090909091E-01, -1.0
-9.034611169926747E-01,-8.409090909090909E-01,  1.0
-8.770976528723556E-01,-7.427272727272727E-01, -1.0
-9.500000000000001E-01,-8.045454545454546E-01,  1.0
-8.900000000000000E-01,-7.263636363636363E-01, -1.0
-9.500000000000001E-01,-7.621722065629186E-01,  1.0
-8.900000000000000E-01,-7.100000000000000E-01, -1.0
-9.500000000000001E-01,-6.680590760596214E-01,  1.0
-8.700000000000000E-01,-6.336363636363636E-01, -1.0
-9.300000000000000E-01,-6.554545454545454E-01,  1.0
-9.047257213113639E-01,-6.256709500560340E-01, -1.0
-8.688953745515249E-01,-5.590909090909091E-01,  1.0
-8.900000000000000E-01,-6.409090909090910E-01, -1.0
-8.716498982164491E-01,-5.532723168233171E-01,  1.0
-9.367262309965076E-01,-5.948653790058155E-01, -1.0
-9.083614471329624E-01,-5.262250055889081E-01,  1.0
-8.532702446026673E-01,-5.081818181818182E-01, -1.0
-9.100000000000000E-01,-5.099999999999999E-01,  1.0
-8.700000000000000E-01,-4.518181818181817E-01, -1.0
-9.300000000000000E-01,-4.936363636363637E-01,  1.0
-8.900000000000000E-01,-4.554545454545454E-01, -1.0
-9.100000000000000E-01,-4.236258577201413E-01,  1.0
-8.900000000000000E-01,-3.790909090909090E-01, -1.0
-9.291478983762745E-01,-4.409090909090909E-01,  1.0
-8.707166141056999E-01,-3.627272727272727E-01, -1.0
-9.500000000000001E-01,-3.583390401292614E-01,  1.0
-9.100000000000000E-01,-3.549545115864871E-01, -1.0
-8.733974104529784E-01,-2.911426112481789E-01,  1.0
-9.500000000000001E-01,-2.820250964608020E-01, -1.0
-8.900000000000000E-01,-2.718181818181817E-01,  1.0
-9.500000000000001E-01,-2.789901815520082E-01, -1.0
-8.605773270591492E-01,-2.630983280869150E-01,  1.0
-9.121613358981675E-01,-2.372727272727272E-01, -1.0
-8.995591070670874E-01,-1.990909090909090E-01,  1.0
-9.500000000000001E-01,-2.374046473104404E-01, -1.0
-9.160472598497846E-01,-1.627272727272726E-01,  1.0
-8.700000000000000E-01,-1.371480083839883E-01, -1.0
-9.067492506211616E-01,-1.644451520963374E-01,  1.0
-8.834473578610624E-01,-8.818181818181811E-02, -1.0
-9.380147053802279E-01,-1.190243612833581E-01,  1.0
-8.700000000000000E-01,-7.075000941485243E-02, -1.0
-9.300000000000000E-01,-9.363636363636353E-02,  1.0
-8.700000000000000E-01,-5.364602813210573E-02, -1.0
-9.300000000000000E-01,-7.727272727272717E-02,  1.0
-8.750833127800871E-01, 2.090909090909102E-02, -1.0
-9.500000000000001E-01,-4.090909090909080E-02,  1.0
-8.900000000000000E-01, 3.393486093632060E-02, -1.0
-9.500000000000001E-01, 7.145740247285723E-02,  1.0
-8.900000000000000E-01, 5.363636363636375E-02, -1.0
-8.700000000000000E-01, 1.118181818181819E-01,  1.0
-9.100000000000000E-01, 7.739491608414596E-02, -1.0
-9.414444338266560E-01, 1.481818181818183E-01,  1.0
-9.131283626286516E-01, 8.636363636363650E-02, -1.0
-9.483334395498281E-01, 1.645454545454547E-01,  1.0
-9.040131924808241E-01, 1.427272727272728E-01, -1.0
-8.900000000000000E-01, 2.209090909090911E-01,  1.0
-9.300000000000000E-01, 1.590909090909092E-01, -1.0
-9.069963613479362E-01, 2.348431388644828E-01,  1.0
-9.257471322999055E-01, 2.754545454545456E-01, -1.0
-8.989936884177830E-01, 2.336363636363638E-01,  1.0
-9.300000000000000E-01, 2.825221067536136E-01, -1.0
-8.757926507091466E-01, 3.100000000000002E-01,  1.0
-9.500000000000001E-01, 3.480713758782421E-01, -1.0
-8.900000000000000E-01, 3.263636363636365E-01,  1.0
-9.167913697157533E-01, 3.445454545454547E-01, -1.0
-8.900000000000000E-01, 3.778229530570917E-01,  1.0
-9.500000000000001E-01, 4.209090909090911E-01, -1.0
-8.802054933820733E-01, 3.790909090909093E-01,  1.0
-8.700000000000000E-01, 4.203554515176912E-01, -1.0
-9.128368827087022E-01, 4.751196633067717E-01,  1.0
-9.100000000000000E-01, 4.584619513240526E-01, -1.0
-8.900000000000000E-01, 4.918181818181819E-01,  1.0
-9.034645519713240E-01, 5.300000000000002E-01, -1.0
-8.986619068821724E-01, 4.881818181818184E-01,  1.0
-9.073191495425783E-01, 5.463636363636366E-01, -1.0
-8.500000000000000E-01, 5.362794703500164E-01,  1.0
-8.875405425865640E-01, 6.027272727272729E-01, -1.0
-9.500000000000001E-01, 5.609090909090910E-01,  1.0
-8.886203822303509E-01, 6.078823912824822E-01, -1.0
-9.500000000000001E-01, 6.372727272727274E-01,  1.0
-9.100000000000000E-01, 6.354545454545456E-01, -1.0
-9.500000000000001E-01, 6.485421919268567E-01,  1.0
-9.179181665342215E-01, 6.515661693173644E-01, -1.0
-8.542039900765946E-01, 6.590935681012022E-01,  1.0
-9.300000000000000E-01, 7.134684823951893E-01, -1.0
