x,y,charge
-9.151857111289242E-01,-8.450919938635068E-01,  1.0
-8.200000000000000E-01,-8.618181818181818E-01, -1.0
-9.200000000000000E-01,-8.436363636363636E-01,  1.0
-8.300237025913401E-01,-8.654545454545455E-01, -1.0
-9.073969521887356E-01,-8.472727272727273E-01,  1.0
-8.600000000000000E-01,-7.490909090909090E-01, -1.0
-9.134611169926747E-01,-8.309090909090909E-01,  1.0
-8.470976528723556E-01,-7.428886892970692E-01, -1.0
-9.045937493080169E-01,-8.345454545454546E-01,  1.0
-8.600000000000000E-01,-7.363636363636363E-01, -1.0
-9.810686549732032E-01,-8.121722065629187E-01,  1.0
-8.600000000000000E-01,-7.400000000000000E-01, -1.0
-9.600000000000001E-01,-6.180590760596214E-01,  1.0
-8.200000000000000E-01,-6.636363636363636E-01, -1.0
-9.600000000000001E-01,-6.254545454545454E-01,  1.0
-8.547257213113638E-01,-6.756709500560341E-01, -1.0
-8.788953745515249E-01,-5.490909090909091E-01,  1.0
-8.400000000000000E-01,-6.698486654692073E-01, -1.0
-8.802868514677002E-01,-5.432723168233171E-01,  1.0
-8.870610489363235E-01,-6.448653790058155E-01, -1.0
-8.983614471329624E-01,-5.362250055889081E-01,  1.0
-8.032702446026673E-01,-4.781818181818182E-01, -1.0
-9.000000000000000E-01,-5.199999999999999E-01,  1.0
-8.600000000000000E-01,-4.218181818181817E-01, -1.0
-9.000000000000000E-01,-5.236363636363637E-01,  1.0
-8.400000000000000E-01,-4.054545454545454E-01, -1.0
-9.368004603302176E-01,-4.195953478403999E-01,  1.0
-8.400000000000000E-01,-3.890909090909090E-01, -1.0
-9.391478983762745E-01,-4.258433524043346E-01,  1.0
-8.407166141056999E-01,-3.927272727272727E-01, -1.0
-9.900000000000000E-01,-3.954382826138232E-01,  1.0
-8.600000000000000E-01,-3.849545115864871E-01, -1.0
-8.633974104529784E-01,-2.611426112481789E-01,  1.0
-9.800000000000001E-01,-2.772545104643307E-01, -1.0
-8.600000000000000E-01,-2.618181818181817E-01,  1.0
-9.800000000000000E-01,-2.689901815520082E-01, -1.0
-8.505773270591492E-01,-2.730983280869150E-01,  1.0
-9.621613358981675E-01,-2.310428584455957E-01, -1.0
-8.895591070670874E-01,-1.890909090909090E-01,  1.0
-9.829217680280135E-01,-2.674046473104404E-01, -1.0
-9.060472598497846E-01,-1.727272727272726E-01,  1.0
-8.800000000000000E-01,-8.714800838398831E-02, -1.0
-8.901845884856572E-01,-1.823460289340259E-01,  1.0
-8.534473578610624E-01,-3.818181818181812E-02, -1.0
-9.138803271201517E-01,-1.690243612833582E-01,  1.0
-8.800000000000000E-01,-4.075000941485243E-02, -1.0
-9.400000000000001E-01,-1.436363636363635E-01,  1.0
-8.600000000000000E-01,-4.364602813210573E-02, -1.0
-9.600000000000001E-01,-1.272727272727271E-01,  1.0
-8.650833127800871E-01, 3.090909090909102E-02, -1.0
-9.900000000000000E-01,-9.090909090909080E-02,  1.0
-8.800000000000000E-01, 2.393486093632060E-02, -1.0
-9.900000000000000E-01, 1.214574024728572E-01,  1.0
-8.800000000000000E-01, 2.363636363636375E-02, -1.0
-8.200000000000000E-01, 1.218181818181819E-01,  1.0
-8.800000000000000E-01, 2.739491608414596E-02, -1.0
-9.714444338266560E-01, 1.981818181818184E-01,  1.0
-8.831283626286516E-01, 3.636363636363651E-02, -1.0
-9.583334395498281E-01, 2.145454545454547E-01,  1.0
-9.140131924808241E-01, 1.127272727272728E-01, -1.0
-8.600000000000000E-01, 2.509090909090911E-01,  1.0
-9.200000000000000E-01, 1.279419276747626E-01, -1.0
-8.569963613479361E-01, 2.448431388644828E-01,  1.0
-9.557471322999055E-01, 2.854545454545456E-01, -1.0
-8.489936884177830E-01, 2.436363636363638E-01,  1.0
-9.600000000000001E-01, 2.725221067536135E-01, -1.0
-8.657926507091466E-01, 3.000000000000002E-01,  1.0
-9.618697915551223E-01, 2.980713758782421E-01, -1.0
-8.600000000000000E-01, 3.563636363636365E-01,  1.0
-9.667913697157533E-01, 2.945454545454547E-01, -1.0
-8.800000000000000E-01, 3.678229530570917E-01,  1.0
-9.900000000000000E-01, 4.509090909090911E-01, -1.0
-8.702054933820733E-01, 3.690909090909092E-01,  1.0
